id,fecha,hora_inicio,tipo_intervals,categoria,subtipo,nombre,duracion_s,tiempo_total_s,distancia_m,ritmo_min_km,velocidad_media_ms,fc_media,fc_max,carga_hrss,trimp,intensidad_pct,calorias,desnivel_pos_m,cadencia_ppm,zancada_m,contacto_ms,oscilacion_cm,z1_s,z2_s,z3_s,z4_s,z5_s,z6_s,z7_s,recuperacion_fc,cant_vueltas,resumen_bloques,fitness_ctl,fatiga_atl,dispositivo,id_zepp,actualizado
i189773148,2026-07-21,17:32,Run,Carrera,Libre,Afternoon Correr,2685,2700,4948.0,9:06,1.833,153,181,62,98.4,90.9,545,37.0,136,0.81,324.0,7.0,597,39,436,643,401,376,194,24,5,1x 10m29s 121bpm | 4x 8m38s 163bpm,1.5,8.3,ZEPP Amazfit Active 2 (Round),Zepp20260721173253.fit,2026-09-23 23:41:27
i189773049,2026-07-24,17:01,Run,Carrera,Libre,Afternoon Correr,2559,2568,4629.0,9:15,1.803,146,175,48,78.5,82.0,479,37.0,130,0.84,325.0,6.3,1076,222,275,575,227,170,15,15,5,1x 9m52s 123bpm | 3x 7m48s 147bpm | 1x 9m34s 162bpm,2.5,11.8,ZEPP Amazfit Active 2 (Round),Zepp20260724170115.fit,2026-09-23 23:41:26
i189773071,2026-07-25,18:55,Walk,Caminata,,Evening Caminar,2015,2029,3126.0,10:49,1.541,108,147,13,20.8,48.0,226,35.0,123,0.75,,,1853,162,0,0,0,0,0,,4,1x 11m26s 87bpm | 1x 8m10s 123bpm | 1x 12m37s 115bpm | 1x 97s 111bpm,2.7,11.9,ZEPP Amazfit Active 2 (Round),Zepp20260725185537.fit,2026-09-23 23:41:26
i189773108,2026-07-27,16:42,Run,Carrera,Libre,Afternoon Correr,2524,3046,4386.0,9:43,1.715,131,167,35,52.0,70.2,405,41.0,129,0.81,332.0,5.7,1264,391,517,222,130,0,0,16,5,1x 8m40s 71bpm | 1x 7m19s 148bpm | 1x 10m15s 140bpm | 1x 12m56s 120bpm | 1x 4m54s 98bpm,3.4,13.6,ZEPP Amazfit Active 2 (Round),Zepp20260727164206.fit,2026-09-23 23:41:25
i189773094,2026-07-30,18:41,Run,Carrera,Libre,Evening Correr,3598,3600,6354.0,9:27,1.765,135,165,52,82.7,72.1,593,47.0,134,0.79,321.0,6.2,1794,431,701,669,4,0,0,18,7,1x 10m13s 100bpm | 1x 7m28s 120bpm | 3x 8m41s 148bpm | 1x 11m15s 148bpm | 1x 5m1s 121bpm,4.4,15.8,ZEPP Amazfit Active 2 (Round),Zepp20260730184137.fit,2026-09-23 23:41:25
i189773061,2026-07-31,15:59,Run,Carrera,Libre,Afternoon Correr,2561,2562,4594.0,9:18,1.793,140,175,43,67.3,77.7,450,36.0,131,0.82,311.0,6.1,1153,272,403,400,180,151,3,21,5,1x 9m43s 113bpm | 2x 8m6s 152bpm | 1x 9m57s 157bpm | 1x 6m52s 122bpm,5.3,19.4,ZEPP Amazfit Active 2 (Round),Zepp20260731155910.fit,2026-09-23 23:41:24
i189773117,2026-08-01,17:15,Walk,Caminata,,Afternoon Caminar,3084,3085,4369.0,11:46,1.416,89,116,10,15.7,34.2,229,36.0,113,0.75,,,3086,0,0,0,0,0,0,,5,4x 11m44s 87bpm | 1x 4m31s 110bpm,5.4,18.2,ZEPP Amazfit Active 2 (Round),Zepp20260801171508.fit,2026-09-23 23:41:24
i189773155,2026-08-02,16:09,Padel,Pádel,,Afternoon Padel,3162,3162,,,,149,178,62,104.8,84.0,612,,,,,,683,718,825,562,177,170,28,20,1,1x 52m43s 148bpm,6.8,24.0,ZEPP Amazfit Active 2 (Round),Zepp20260802160940.fit,2026-09-23 23:41:23
i189773076,2026-08-04,16:58,Run,Carrera,Libre,Afternoon Correr,2885,2939,5147.0,9:31,1.751,146,177,54,88.6,81.3,553,33.0,133,0.8,328.0,5.8,627,539,860,758,24,56,22,23,6,2x 7m14s 153bpm | 1x 9m6s 149bpm | 1x 10m14s 146bpm | 1x 11m46s 146bpm | 1x 3m26s 110bpm,7.7,25.2,ZEPP Amazfit Active 2 (Round),Zepp20260804165803.fit,2026-09-23 23:41:23
i189773167,2026-08-05,19:41,Walk,Caminata,,Evening Caminar,2010,2026,3005.0,11:14,1.483,84,102,5,8.2,29.8,127,32.0,121,0.74,,,2011,0,0,0,0,0,0,,4,3x 11m14s 83bpm | 1x 6s 88bpm,7.7,22.5,ZEPP Amazfit Active 2 (Round),Zepp20260805194146.fit,2026-09-23 23:41:23
