id_actividad,fecha,nro_bloque,tipo,inicio_s,duracion_s,distancia_m,ritmo_min_km,fc_media,fc_max,cadencia_ppm,desnivel_pos_m
i189771601,2026-07-18,1,WORK,0,631,1001,10:30,110,137,119,5
i189771601,2026-07-18,2,WORK,631,448,1000,7:28,160,175,145,0
i189771601,2026-07-18,3,WORK,1079,509,997,8:30,165,178,137,4
i189771601,2026-07-18,4,WORK,1588,580,1001,9:40,167,182,136,22
i189771601,2026-07-18,5,WORK,2168,533,911,9:45,169,181,138,8
i189773148,2026-07-21,1,WORK,0,629,1005,10:26,121,154,120,7
i189773148,2026-07-21,2,WORK,629,461,996,7:43,165,176,146,0
i189773148,2026-07-21,3,WORK,1090,504,1001,8:24,161,171,139,4
i189773148,2026-07-21,4,WORK,1594,562,998,9:23,165,181,138,19
i189773148,2026-07-21,5,WORK,2156,545,948,9:35,161,181,139,9
i189773049,2026-07-24,1,WORK,0,592,1003,9:50,123,136,127,3
i189773049,2026-07-24,2,WORK,592,478,1002,7:57,147,166,137,0
i189773049,2026-07-24,3,WORK,1070,488,996,8:10,160,171,137,0
i189773049,2026-07-24,4,WORK,1558,574,1000,9:34,162,175,127,22
i189773049,2026-07-24,5,WORK,2132,437,629,11:35,133,145,118,5
i189773071,2026-07-25,1,WORK,0,686,1001,11:25,87,99,116,3
i189773071,2026-07-25,2,WORK,686,490,1000,8:10,123,147,150,16
i189773071,2026-07-25,3,WORK,1176,757,998,12:38,115,146,111,8
i189773071,2026-07-25,4,WORK,1933,97,128,12:39,111,116,110,1
i189773108,2026-07-27,1,WORK,0,520,12,711:33,71,114,4,1
i189773108,2026-07-27,2,RECOVERY,520,403,989,6:48,148,159,157,0
i189773108,2026-07-27,3,WORK,923,439,1004,7:17,148,153,155,4
i189773108,2026-07-27,4,WORK,1362,615,997,10:17,140,167,125,16
i189773108,2026-07-27,5,WORK,1977,776,999,12:57,120,167,111,9
i189773108,2026-07-27,6,WORK,2753,294,386,12:42,98,109,109,7
i189773094,2026-07-30,1,WORK,0,613,1004,10:10,100,109,125,7
i189773094,2026-07-30,2,WORK,613,448,998,7:29,120,129,147,0
i189773094,2026-07-30,3,WORK,1061,485,1000,8:05,139,154,141,3
i189773094,2026-07-30,4,WORK,1546,541,998,9:02,154,162,141,22
i189773094,2026-07-30,5,WORK,2087,538,1000,8:58,151,163,144,8
i189773094,2026-07-30,6,WORK,2625,675,999,11:16,148,165,125,5
i189773094,2026-07-30,7,WORK,3300,301,354,14:11,121,129,108,0
i189773061,2026-07-31,1,WORK,0,583,1002,9:42,113,136,130,7
i189773061,2026-07-31,2,WORK,583,484,1001,8:04,146,159,139,0
i189773061,2026-07-31,3,WORK,1067,487,995,8:10,158,173,138,5
i189773061,2026-07-31,4,WORK,1554,597,1003,9:55,157,175,126,23
i189773061,2026-07-31,5,WORK,2151,412,594,11:34,122,133,118,4
i189773117,2026-08-01,1,WORK,0,704,1001,11:43,85,105,114,0
i189773117,2026-08-01,2,WORK,704,703,999,11:44,81,88,113,2
i189773117,2026-08-01,3,WORK,1407,695,999,11:36,90,95,113,5
i189773117,2026-08-01,4,WORK,2102,713,1000,11:53,92,113,111,20
i189773117,2026-08-01,5,WORK,2815,271,370,12:12,110,116,111,8
i189773155,2026-08-02,1,WORK,0,3163,,,148,178,,
i189773076,2026-08-04,1,WORK,0,421,1001,7:00,150,162,151,0
i189773076,2026-08-04,2,WORK,421,447,999,7:28,156,161,147,2
i189773076,2026-08-04,3,WORK,868,546,998,9:07,149,160,140,14
i189773076,2026-08-04,4,WORK,1414,614,999,10:15,146,173,128,15
i189773076,2026-08-04,5,WORK,2028,706,1000,11:46,146,177,120,0
i189773076,2026-08-04,6,WORK,2734,206,150,22:51,110,116,69,0
i189773167,2026-08-05,1,WORK,0,679,1003,11:17,85,102,119,5
i189773167,2026-08-05,2,WORK,679,668,998,11:09,81,92,122,10
i189773167,2026-08-05,3,WORK,1347,674,1000,11:14,82,91,120,11
i189773167,2026-08-05,4,WORK,2021,6,5,21:19,88,89,112,0
i189773086,2026-08-06,1,WORK,0,616,1003,10:14,109,130,126,4
i189773086,2026-08-06,2,WORK,616,446,999,7:26,152,162,152,0
i189773086,2026-08-06,3,WORK,1062,479,997,8:00,154,168,144,0
i189773086,2026-08-06,4,WORK,1541,515,1000,8:35,150,157,149,18
i189773086,2026-08-06,5,WORK,2056,529,1000,8:49,151,161,146,9
i189773086,2026-08-06,6,WORK,2585,594,999,9:54,151,166,131,5
i189773086,2026-08-06,7,WORK,3179,422,568,12:23,128,146,113,5
i189773058,2026-08-08,1,WORK,0,5283,,,145,172,,
i189773102,2026-08-09,1,WORK,0,693,1001,11:32,97,108,115,1
i189773102,2026-08-09,2,WORK,693,701,999,11:42,76,87,114,11
i189773102,2026-08-09,3,WORK,1394,699,1000,11:39,79,87,114,5
i189773102,2026-08-09,4,WORK,2093,679,1001,11:19,102,120,116,1
i189773102,2026-08-09,5,WORK,2772,730,600,20:17,108,120,114,6
i189773102,2026-08-09,6,RECOVERY,3502,274,397,11:31,95,101,116,0
i189773102,2026-08-09,7,WORK,3776,694,1001,11:33,105,121,115,24
i189773102,2026-08-09,8,WORK,4470,151,209,12:02,113,121,114,3
i189773121,2026-08-10,1,WORK,0,601,1002,9:60,125,134,128,3
i189773121,2026-08-10,2,WORK,601,431,999,7:12,158,172,152,0
i189773121,2026-08-10,3,WORK,1032,465,999,7:45,160,169,148,1
i189773121,2026-08-10,4,WORK,1497,492,999,8:12,164,177,150,16
i189773121,2026-08-10,5,WORK,1989,519,1000,8:39,157,168,149,9
i189773121,2026-08-10,6,WORK,2508,506,1000,8:26,165,175,149,4
i189773121,2026-08-10,7,WORK,3014,587,820,11:56,127,148,117,7
i189773038,2026-08-14,1,WORK,0,595,1003,9:53,98,107,129,7
i189773038,2026-08-14,2,WORK,595,412,999,6:52,129,146,155,0
i189773038,2026-08-14,3,WORK,1007,409,998,6:50,149,157,152,5
i189773038,2026-08-14,4,WORK,1416,476,998,7:57,150,156,145,22
i189773038,2026-08-14,5,WORK,1892,484,1000,8:04,154,165,149,8
i189773038,2026-08-14,6,WORK,2376,474,997,7:56,160,169,148,4
i189773038,2026-08-14,7,WORK,2850,648,999,10:49,136,162,124,8
i189773038,2026-08-14,8,WORK,3498,103,151,11:20,110,116,122,0
i189773153,2026-08-15,1,WORK,0,663,998,11:05,92,105,121,0
i189773153,2026-08-15,2,WORK,663,655,1000,10:55,106,120,120,16
i189773153,2026-08-15,3,WORK,1318,632,1000,10:32,112,121,124,10
i189773153,2026-08-15,4,WORK,1950,648,999,10:49,107,115,122,0
i189773153,2026-08-15,5,WORK,2598,325,488,11:06,112,121,120,10
i189773146,2026-08-16,1,WORK,0,682,1002,11:20,90,117,118,0
i189773146,2026-08-16,2,WORK,682,653,1000,10:53,109,128,121,2
i189773146,2026-08-16,3,WORK,1335,638,1000,10:38,99,108,121,4
i189773146,2026-08-16,4,WORK,1973,637,1000,10:37,105,112,123,10
i189773146,2026-08-16,5,WORK,2610,660,998,11:01,107,119,120,7
i189773146,2026-08-16,6,WORK,3270,315,467,11:15,104,120,118,6
i189773115,2026-08-17,1,WORK,0,639,1000,10:39,100,120,125,0
i189773115,2026-08-17,2,WORK,639,632,1002,10:31,111,119,121,19
i189773115,2026-08-17,3,WORK,1271,614,998,10:15,97,103,124,9
i189773115,2026-08-17,4,WORK,1885,615,1000,10:15,95,104,126,3
i189773115,2026-08-17,5,WORK,2500,615,1000,10:15,96,115,128,11
i189773115,2026-08-17,6,WORK,3115,46,62,12:27,115,122,117,0
i189773140,2026-08-18,1,WORK,0,701,1001,11:41,102,115,114,7
i189773140,2026-08-18,2,WORK,701,442,999,7:23,147,157,156,0
i189773140,2026-08-18,3,WORK,1143,459,996,7:41,149,156,154,5
i189773140,2026-08-18,4,WORK,1602,473,1002,7:52,146,150,151,22
i189773140,2026-08-18,5,WORK,2075,758,999,12:39,119,149,110,8
i189773140,2026-08-18,6,WORK,2833,750,995,12:33,112,119,110,5
i189773140,2026-08-18,7,WORK,3583,4,6,10:46,106,108,110,0
i189773157,2026-08-19,1,WORK,0,714,1002,11:53,106,127,111,3
i189773157,2026-08-19,2,WORK,714,689,1001,11:29,92,101,115,2
i189773157,2026-08-19,3,WORK,1403,685,999,11:26,93,114,113,20
i189773157,2026-08-19,4,WORK,2088,695,1000,11:35,110,115,113,8
i189773157,2026-08-19,5,WORK,2783,689,999,11:30,114,121,115,5
i189773157,2026-08-19,6,WORK,3472,9,6,23:46,113,117,110,0
i189773160,2026-08-20,1,WORK,0,520,1001,8:39,122,164,137,5
i189773160,2026-08-20,2,WORK,520,420,998,7:01,155,163,151,0
i189773160,2026-08-20,3,WORK,940,428,998,7:09,147,152,149,4
i189773160,2026-08-20,4,WORK,1368,558,999,9:18,155,174,136,22
i189773160,2026-08-20,5,WORK,1926,677,1001,11:17,129,141,116,8
i189773160,2026-08-20,6,WORK,2603,547,824,11:04,115,127,118,0
i189773104,2026-08-22,1,WORK,0,5107,,,132,168,,
i189773134,2026-08-24,1,WORK,0,525,1000,8:45,124,155,134,3
i189773134,2026-08-24,2,WORK,525,419,998,6:60,151,154,152,0
i189773134,2026-08-24,3,WORK,944,430,999,7:10,150,156,151,0
i189773134,2026-08-24,4,WORK,1374,511,1000,8:31,151,159,144,14
i189773134,2026-08-24,5,WORK,1885,689,999,11:30,116,142,116,12
i189773134,2026-08-24,6,WORK,2574,604,888,11:20,118,128,116,1
i189400067,2026-08-26,1,WORK,0,337,465,12:05,117,132,121,4
i189400067,2026-08-26,2,WORK,337,1499,3576,6:59,153,164,155,26
i189400067,2026-08-26,3,WORK,1836,1339,1998,11:10,121,153,117,13
i189400067,2026-08-26,4,RECOVERY,3175,1,,14:30,118,118,120,0
i189400071,2026-08-28,1,WORK,0,32,94,5:39,112,122,148,1
i189400071,2026-08-28,2,WORK,32,59,97,10:08,122,129,127,1
i189400071,2026-08-28,3,WORK,91,30,98,5:05,127,134,153,1
i189400071,2026-08-28,4,WORK,121,60,100,9:58,131,137,126,2
i189400071,2026-08-28,5,WORK,181,29,98,4:56,128,134,153,2
i189400071,2026-08-28,6,WORK,210,61,98,10:24,130,137,124,1
i189400071,2026-08-28,7,WORK,271,30,106,4:42,134,141,154,1
i189400071,2026-08-28,8,WORK,301,60,94,10:39,137,144,126,0
i189400071,2026-08-28,9,WORK,361,29,97,4:59,129,138,153,0
i189400071,2026-08-28,10,WORK,390,61,110,9:16,132,141,126,1
i189400071,2026-08-28,11,WORK,451,30,99,5:02,126,132,157,3
i189400071,2026-08-28,12,WORK,481,60,101,9:55,131,135,124,3
i189400071,2026-08-28,13,WORK,541,29,96,5:01,129,134,154,0
i189400071,2026-08-28,14,WORK,570,61,101,10:04,132,140,124,0
i189400071,2026-08-28,15,WORK,631,30,110,4:32,129,134,155,0
i189400071,2026-08-28,16,WORK,661,61,98,10:24,125,138,127,0
i189400071,2026-08-28,17,WORK,722,29,112,4:18,125,135,155,0
i189400071,2026-08-28,18,WORK,751,60,93,10:48,139,144,122,0
i189400071,2026-08-28,19,WORK,811,30,107,4:41,135,140,147,0
i189400071,2026-08-28,20,WORK,841,60,90,11:07,131,144,121,0
i189400071,2026-08-28,21,WORK,901,682,1007,11:17,117,131,118,4
i189400074,2026-08-30,1,WORK,0,2975,,,147,174,,
i189400079,2026-09-03,1,WORK,0,301,509,9:51,101,113,124,4
i189400079,2026-09-03,2,WORK,301,1500,3585,6:58,145,154,151,25
i189400079,2026-09-03,3,WORK,1801,1280,1999,10:40,129,156,120,13
i189400083,2026-09-08,1,WORK,0,302,493,10:12,109,125,122,4
i189400083,2026-09-08,2,WORK,302,1500,3673,6:48,151,157,153,28
i189400083,2026-09-08,3,WORK,1802,1306,1998,10:54,124,158,119,11
i189400084,2026-09-12,1,WORK,0,5006,,,132,155,,
i189400086,2026-09-14,1,WORK,0,302,403,12:30,89,94,107,0
i189400086,2026-09-14,2,WORK,302,811,1999,6:46,137,164,140,19
i189400086,2026-09-14,3,WORK,1113,600,859,11:38,127,155,114,4
i189400092,2026-09-18,1,WORK,0,902,2001,7:31,145,154,149,27
i189400092,2026-09-18,2,WORK,902,225,321,11:40,129,149,117,0
i189400092,2026-09-18,3,RECOVERY,1127,1,,15:09,116,116,98,0
i189400095,2026-09-19,1,WORK,0,3772,,,144,175,,
i189400096,2026-09-22,1,WORK,0,301,473,10:36,126,137,122,4
i189400096,2026-09-22,2,WORK,301,1680,4212,6:39,157,165,157,30
